strain	date	region	country	division	lineage	is_lab_host	host	genbank_accession	authors
USA/PP_000SB7Q.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201681.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SB8N.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201492.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SB9L.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201686.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBAJ.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201481.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBBG.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201684.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBCE.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex restuans	OZ201482.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBDC.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex restuans	OZ201692.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBEA.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201691.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBF8.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201488.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBG6.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201688.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBH3.1/2018-07-31	2018-07-31	North America	USA	Connecticut	1A	False	Culiseta melanura	OZ201457.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBJ1.1/2018-08-01	2018-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201683.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBKZ.1/2018-08-01	2018-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201484.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBLX.1/2018-08-01	2018-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201693.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBMV.1/2018-08-01	2018-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201494.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBNT.1/2018-08-01	2018-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201469.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBPR.1/2018-08-01	2018-08	North America	USA	Connecticut	1A	False	Culex restuans	OZ201810.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBQP.1/2018-08-01	2018-08	North America	USA	Connecticut	1A	False	Culex restuans	OZ201495.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBRM.1/2018-08-01	2018-08	North America	USA	Connecticut	1A	False	Culex restuans	OZ201811.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBSK.1/2018-08-01	2018-08	North America	USA	Connecticut	1A	False	Culex restuans	OZ201606.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBTH.1/2018-08-01	2018-08	North America	USA	Connecticut	1A	False	Ochlerotatus japonicus	OZ201644.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBUF.1/2018-08-01	2018-08	North America	USA	Connecticut	1A	False	Ochlerotatus japonicus	OZ201650.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBVD.1/2018-08-02	2018-08-02	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201605.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBWB.1/2018-08-02	2018-08-02	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201669.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBX9.1/2018-08-02	2018-08-02	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201431.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBY7.1/2018-08-02	2018-08-02	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201682.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SBZ5.1/2018-08-02	2018-08-02	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201428.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SC03.1/2018-08-02	2018-08-02	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201666.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SC11.1/2018-08-02	2018-08-02	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201435.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SC2Z.1/2018-08-02	2018-08-02	North America	USA	Connecticut	1A	False	Culex restuans	OZ201677.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SC3X.1/2018-08-02	2018-08-02	North America	USA	Connecticut	1A	False	Culex restuans	OZ201426.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SC4V.1/2018-08-02	2018-08-02	North America	USA	Connecticut	1A	False	Culex restuans	OZ201665.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SC5T.1/2018-08-06	2018-08-06	North America	USA	Connecticut	1A	False	Coquillettidia perturbans	OZ201419.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SC6R.1/2018-08-06	2018-08-06	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201334.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SC7P.1/2018-08-06	2018-08-06	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201756.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SC8M.1/2018-08-06	2018-08-06	North America	USA	Connecticut	1A	False	Culex restuans	OZ201748.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SC9K.1/2018-08-06	2018-08-06	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201587.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCAH.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201754.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCBF.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201586.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCCD.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201752.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCDB.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201581.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCE9.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201753.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCF7.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201578.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCG5.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201755.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCH2.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201526.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCJ0.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201880.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCKY.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201512.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCLW.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201874.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCMU.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex restuans	OZ201881.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCNS.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex restuans	OZ201550.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCPQ.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex restuans	OZ201344.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCQN.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Culex restuans	OZ201540.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCRL.1/2018-08-08	2018-08-08	North America	USA	Connecticut	1A	False	Ochlerotatus taeniorhynchus	OZ201346.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCSJ.1/2018-08-09	2018-08-09	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201536.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCTG.1/2018-08-09	2018-08-09	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201546.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCUE.1/2018-08-09	2018-08-09	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201446.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCVC.1/2018-08-09	2018-08-09	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201548.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCWA.1/2018-08-09	2018-08-09	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201444.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCX8.1/2018-08-09	2018-08-09	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201541.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCY6.1/2018-08-09	2018-08-09	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201321.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SCZ4.1/2018-08-09	2018-08-09	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201533.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SD02.1/2018-08-09	2018-08-09	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201400.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SD10.1/2018-08-09	2018-08-09	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201317.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SD2Y.1/2018-08-09	2018-08-09	North America	USA	Connecticut	1A	False	Culex restuans	OZ201544.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SD3W.1/2018-08-09	2018-08-09	North America	USA	Connecticut	1A	False	Culex restuans	OZ201557.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SD4U.1/2018-08-13	2018-08-13	North America	USA	Connecticut	1A	False	Aedes albopictus	OZ201542.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SD5S.1/2018-08-13	2018-08-13	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201591.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SD6Q.1/2018-08-13	2018-08-13	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201655.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SD7N.1/2018-08-13	2018-08-13	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201663.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SD8L.1/2018-08-13	2018-08-13	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201374.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SD9J.1/2018-08-13	2018-08-13	North America	USA	Connecticut	1A	False	Culex restuans	OZ201319.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDAG.1/2018-08-13	2018-08-13	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201554.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDBE.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Coquillettidia perturbans	OZ201418.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDCC.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201562.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDDA.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201423.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDE8.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201364.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDF6.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201560.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDG4.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201368.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDH1.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201589.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDJZ.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201607.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDKX.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201601.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDLV.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201597.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDMT.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201602.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDNR.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201815.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDPP.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201558.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDQM.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex restuans	OZ201819.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDRK.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex restuans	OZ201561.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDSH.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex restuans	OZ201833.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDTF.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201662.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDUD.1/2018-08-14	2018-08-14	North America	USA	Connecticut	1A	False	Culex salinarius	OZ201556.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDVB.1/2018-08-15	2018-08-15	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201645.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDW9.1/2018-08-15	2018-08-15	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201608.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDX7.1/2018-08-15	2018-08-15	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201643.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDY5.1/2018-08-15	2018-08-15	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201595.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
USA/PP_000SDZ3.1/2018-08-15	2018-08-15	North America	USA	Connecticut	1A	False	Culex pipiens	OZ201652.1	Feriancek, Nicole M.; Breban, Mallery I.; Bourgikos, Ellie; Bransfield, Angela; Armstrong, Philip M.; Vogels, Chantal B.F.; Grubaugh, Nathan D.
